"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.82000000000E+006, +1.35419057709E+001, +0.00000000000E+000
+1.82500000000E+006, +1.35541663756E+001, +0.00000000000E+000
+1.83000000000E+006, +1.35518215583E+001, +0.00000000000E+000
+1.83500000000E+006, +1.35593584076E+001, +0.00000000000E+000
+1.84000000000E+006, +1.35590605356E+001, +0.00000000000E+000
+1.84500000000E+006, +1.35774553014E+001, +0.00000000000E+000
+1.85000000000E+006, +1.35667591683E+001, +0.00000000000E+000
+1.85500000000E+006, +1.35610631627E+001, +0.00000000000E+000
+1.86000000000E+006, +1.35624188678E+001, +0.00000000000E+000
+1.86500000000E+006, +1.35801230484E+001, +0.00000000000E+000
+1.87000000000E+006, +1.35818386022E+001, +0.00000000000E+000
+1.87500000000E+006, +1.35704340038E+001, +0.00000000000E+000
+1.88000000000E+006, +1.35703135644E+001, +0.00000000000E+000
+1.88500000000E+006, +1.35893584631E+001, +0.00000000000E+000
+1.89000000000E+006, +1.35792138726E+001, +0.00000000000E+000
+1.89500000000E+006, +1.35945531675E+001, +0.00000000000E+000
+1.90000000000E+006, +1.36041444725E+001, +0.00000000000E+000
+1.90500000000E+006, +1.35938671798E+001, +0.00000000000E+000
+1.91000000000E+006, +1.35842624420E+001, +0.00000000000E+000
+1.91500000000E+006, +1.35976131890E+001, +0.00000000000E+000
+1.92000000000E+006, +1.35956571308E+001, +0.00000000000E+000
+1.92500000000E+006, +1.35977932212E+001, +0.00000000000E+000
+1.93000000000E+006, +1.35891307791E+001, +0.00000000000E+000
+1.93500000000E+006, +1.35983702450E+001, +0.00000000000E+000
+1.94000000000E+006, +1.36045797199E+001, +0.00000000000E+000
+1.94500000000E+006, +1.36108228610E+001, +0.00000000000E+000
+1.95000000000E+006, +1.36042005176E+001, +0.00000000000E+000
+1.95500000000E+006, +1.35972031077E+001, +0.00000000000E+000
+1.96000000000E+006, +1.36233699024E+001, +0.00000000000E+000
+1.96500000000E+006, +1.36118832754E+001, +0.00000000000E+000
+1.97000000000E+006, +1.36151101545E+001, +0.00000000000E+000
+1.97500000000E+006, +1.36283556845E+001, +0.00000000000E+000
+1.98000000000E+006, +1.36182504569E+001, +0.00000000000E+000
+1.98500000000E+006, +1.36256272412E+001, +0.00000000000E+000
+1.99000000000E+006, +1.36099607955E+001, +0.00000000000E+000
+1.99500000000E+006, +1.36203697350E+001, +0.00000000000E+000
+2.00000000000E+006, +1.36306128250E+001, +0.00000000000E+000
+2.00500000000E+006, +1.36326987328E+001, +0.00000000000E+000
+2.01000000000E+006, +1.36406901736E+001, +0.00000000000E+000
+2.01500000000E+006, +1.36295051106E+001, +0.00000000000E+000
+2.02000000000E+006, +1.36420386241E+001, +0.00000000000E+000
+2.02500000000E+006, +1.36313046088E+001, +0.00000000000E+000
+2.03000000000E+006, +1.36433897180E+001, +0.00000000000E+000
+2.03500000000E+006, +1.36447186426E+001, +0.00000000000E+000
+2.04000000000E+006, +1.36452366277E+001, +0.00000000000E+000
+2.04500000000E+006, +1.36506175578E+001, +0.00000000000E+000
+2.05000000000E+006, +1.36441747722E+001, +0.00000000000E+000
+2.05500000000E+006, +1.36477890937E+001, +0.00000000000E+000
+2.06000000000E+006, +1.36558058497E+001, +0.00000000000E+000
+2.06500000000E+006, +1.36590737897E+001, +0.00000000000E+000
+2.07000000000E+006, +1.36569613453E+001, +0.00000000000E+000
+2.07500000000E+006, +1.36602158067E+001, +0.00000000000E+000
+2.08000000000E+006, +1.36492582551E+001, +0.00000000000E+000
+2.08500000000E+006, +1.36561386866E+001, +0.00000000000E+000
+2.09000000000E+006, +1.36590516998E+001, +0.00000000000E+000
+2.09500000000E+006, +1.36520653962E+001, +0.00000000000E+000
+2.10000000000E+006, +1.36659837229E+001, +0.00000000000E+000
